Type	Predicate	Enabled
class clang::SourceLocation	clang::CXXThisExpr::getLocation	1
class clang::SourceLocation	clang::CXXThisExpr::getBeginLoc	1
class clang::SourceLocation	clang::CXXThisExpr::getEndLoc	1
_Bool	clang::CXXThisExpr::isImplicit	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::CXXThisExpr::children	1
class clang::SourceLocation	clang::MSDependentExistsStmt::getKeywordLoc	1
_Bool	clang::MSDependentExistsStmt::isIfExists	1
_Bool	clang::MSDependentExistsStmt::isIfNotExists	1
class clang::NestedNameSpecifierLoc	clang::MSDependentExistsStmt::getQualifierLoc	1
struct clang::DeclarationNameInfo	clang::MSDependentExistsStmt::getNameInfo	0
class clang::CompoundStmt *	clang::MSDependentExistsStmt::getSubStmt	1
class clang::SourceLocation	clang::MSDependentExistsStmt::getBeginLoc	1
class clang::SourceLocation	clang::MSDependentExistsStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::MSDependentExistsStmt::children	1
class clang::QualType	clang::Expr::getType	1
enum clang::ExprDependenceScope::ExprDependence	clang::Expr::getDependence	0
_Bool	clang::Expr::isValueDependent	1
_Bool	clang::Expr::isTypeDependent	1
_Bool	clang::Expr::isInstantiationDependent	1
_Bool	clang::Expr::containsUnexpandedParameterPack	1
_Bool	clang::Expr::containsErrors	1
class clang::SourceLocation	clang::Expr::getExprLoc	1
_Bool	clang::Expr::isReadIfDiscardedInCPlusPlus11	1
_Bool	clang::Expr::isLValue	1
_Bool	clang::Expr::isPRValue	1
_Bool	clang::Expr::isXValue	1
_Bool	clang::Expr::isGLValue	1
enum clang::ExprValueKind	clang::Expr::getValueKind	1
enum clang::ExprObjectKind	clang::Expr::getObjectKind	1
_Bool	clang::Expr::isOrdinaryOrBitFieldObject	1
_Bool	clang::Expr::refersToBitField	1
const class clang::FieldDecl *	clang::Expr::getSourceBitField	1
const class clang::Decl *	clang::Expr::getReferencedDeclOfCallee	1
const class clang::ObjCPropertyRefExpr *	clang::Expr::getObjCProperty	1
_Bool	clang::Expr::isObjCSelfExpr	1
_Bool	clang::Expr::refersToVectorElement	1
_Bool	clang::Expr::refersToMatrixElement	1
_Bool	clang::Expr::refersToGlobalRegisterVar	1
_Bool	clang::Expr::hasPlaceholderType	1
const class clang::Expr *	clang::Expr::IgnoreUnlessSpelledInSource	1
const class clang::Expr *	clang::Expr::IgnoreImpCasts	1
const class clang::Expr *	clang::Expr::IgnoreCasts	1
const class clang::Expr *	clang::Expr::IgnoreImplicit	1
const class clang::Expr *	clang::Expr::IgnoreImplicitAsWritten	1
const class clang::Expr *	clang::Expr::IgnoreParens	1
const class clang::Expr *	clang::Expr::IgnoreParenImpCasts	1
const class clang::Expr *	clang::Expr::IgnoreParenCasts	1
const class clang::Expr *	clang::Expr::IgnoreConversionOperatorSingleStep	1
const class clang::Expr *	clang::Expr::IgnoreParenLValueCasts	1
const class clang::Expr *	clang::Expr::IgnoreParenBaseCasts	1
_Bool	clang::Expr::isDefaultArgument	1
_Bool	clang::Expr::isImplicitCXXThis	1
const class clang::CXXRecordDecl *	clang::Expr::getBestDynamicClassType	1
const class clang::Expr *	clang::Expr::getBestDynamicClassTypeExpr	1
const class clang::Expr *	clang::Expr::skipRValueSubobjectAdjustments	1
const class clang::Expr *	clang::DoStmt::getCond	1
const class clang::Stmt *	clang::DoStmt::getBody	1
class clang::SourceLocation	clang::DoStmt::getDoLoc	1
class clang::SourceLocation	clang::DoStmt::getWhileLoc	1
class clang::SourceLocation	clang::DoStmt::getRParenLoc	1
class clang::SourceLocation	clang::DoStmt::getBeginLoc	1
class clang::SourceLocation	clang::DoStmt::getEndLoc	1
class llvm::iterator_range<struct clang::ConstStmtIterator>	clang::DoStmt::children	1
